"id","uri"
14712,http://dbpedia.org/ontology/GrossDomesticProduct
14713,http://dbpedia.org/ontology/GrossDomesticProductPerCapita
14242,http://dbpedia.org/ontology/Group
14714,http://dbpedia.org/ontology/Guitar
14524,http://dbpedia.org/ontology/Guitarist
14525,http://dbpedia.org/ontology/Gymnast
14175,http://dbpedia.org/ontology/HandballLeague
14526,http://dbpedia.org/ontology/HandballPlayer
14322,http://dbpedia.org/ontology/HandballTeam
8290,http://dbpedia.org/ontology/headLabel
4159,http://dbpedia.org/ontology/height
14715,http://dbpedia.org/ontology/HighDiver
8291,http://dbpedia.org/ontology/highestBreak
4880,http://dbpedia.org/ontology/hipSize
14527,http://dbpedia.org/ontology/Historian
14716,http://dbpedia.org/ontology/HistoricalAreaOfAuthority
14717,http://dbpedia.org/ontology/HistoricalCountry
14718,http://dbpedia.org/ontology/HistoricalDistrict
14528,http://dbpedia.org/ontology/HistoricalEvent
14719,http://dbpedia.org/ontology/HistoricalPeriod
14720,http://dbpedia.org/ontology/HistoricalProvince
14721,http://dbpedia.org/ontology/HistoricalRegion
14722,http://dbpedia.org/ontology/HistoricalSettlement
14323,http://dbpedia.org/ontology/HistoricBuilding
14324,http://dbpedia.org/ontology/HistoricPlace
14723,http://dbpedia.org/ontology/HockeyClub
14325,http://dbpedia.org/ontology/HockeyTeam
14326,http://dbpedia.org/ontology/Holiday
14327,http://dbpedia.org/ontology/HollywoodCartoon
14724,http://dbpedia.org/ontology/Hormone
14529,http://dbpedia.org/ontology/Horse
14328,http://dbpedia.org/ontology/HorseRace
14184,http://dbpedia.org/ontology/HorseRider
14530,http://dbpedia.org/ontology/HorseTrainer
14329,http://dbpedia.org/ontology/Hospital
14330,http://dbpedia.org/ontology/Hotel
14725,http://dbpedia.org/ontology/HotSpring
8250,http://dbpedia.org/ontology/hubAirport
14331,http://dbpedia.org/ontology/HumanGene
14726,http://dbpedia.org/ontology/HumanGeneLocation
14727,http://dbpedia.org/ontology/Humorist
4874,http://dbpedia.org/ontology/icaoLocationIdentifier
14176,http://dbpedia.org/ontology/IceHockeyLeague
14531,http://dbpedia.org/ontology/IceHockeyPlayer
8292,http://dbpedia.org/ontology/id
14243,http://dbpedia.org/ontology/Identifier
14728,http://dbpedia.org/ontology/Ideology
14729,http://dbpedia.org/ontology/Image
8251,http://dbpedia.org/ontology/incumbent
14332,http://dbpedia.org/ontology/InformationAppliance
14244,http://dbpedia.org/ontology/Infrastructure
14206,http://dbpedia.org/ontology/InlineHockeyLeague
